Gadag,"['35°', '34°', '34°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '32°', '35°', '34°']"
Gaya,"['34°', '34°', '34°', '35°', '35°', '31°', '31°', '30°', '30°', '28°', '28°', '34°', '34°']"
Goa,"['33°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '33°', '32°']"
Goa/Panjim,"['34°', '33°', '33°', '34°', '34°', '33°', '33°', '33°', '33°', '33°', '33°', '34°', '33°']"
Gorakhpur,"['33°', '33°', '33°', '32°', '32°', '29°', '29°', '28°', '28°', '27°', '27°', '33°', '33°']"
Greater,"['31°', '32°', '32°', '31°', '31°', '28°', '28°', '27°', '27°', '28°', '28°', '31°', '32°']"
Guna,"['33°', '33°', '33°', '29°', '29°', '30°', '30°', '29°', '29°', '28°', '28°', '33°', '33°']"
Gurgaon,"['32°', '32°', '32°', '31°', '31°', '28°', '28°', '27°', '27°', '28°', '28°', '32°', '32°']"
Guwahati,"['32°', '29°', '29°', '27°', '27°', '27°', '27°', '26°', '26°', '25°', '25°', '32°', '29°']"
Gwalior,"['33°', '34°', '34°', '31°', '31°', '29°', '29°', '29°', '29°', '29°', '29°', '33°', '34°']"
Haldia,"['33°', '32°', '32°', '31°', '31°', '31°', '31°', '29°', '29°', '27°', '27°', '33°', '32°']"
Hissar,"['33°', '33°', '33°', '32°', '32°', '30°', '30°', '28°', '28°', '29°', '29°', '33°', '33°']"
Honavar,"['33°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '30°', '30°', '33°', '32°']"
Hyderabad,"['34°', '35°', '35°', '33°', '33°', '30°', '30°', '30°', '30°', '31°', '31°', '34°', '35°']"
Idinthakarai,"['32°', '33°', '33°', '32°', '32°', '32°', '32°', '32°', '32°', '33°', '33°', '32°', '33°']"
Imphal,"['31°', '28°', '28°', '29°', '29°', '30°', '30°', '28°', '28°', '26°', '26°', '31°', '28°']"
Indore,"['32°', '33°', '33°', '30°', '30°', '30°', '30°', '29°', '29°', '29°', '29°', '32°', '33°']"
Jabalpur,"['34°', '33°', '33°', '29°', '29°', '29°', '29°', '29°', '29°', '28°', '28°', '34°', '33°']"
Jagdalpur,"['32°', '33°', '33°', '30°', '30°', '27°', '27°', '27°', '27°', '27°', '27°', '32°', '33°']"
Jaipur,"['32°', '33°', '33°', '30°', '30°', '29°', '29°', '29°', '29°', '28°', '28°', '32°', '33°']"
Jaisalmer,"['37°', '37°', '37°', '34°', '34°', '34°', '34°', '34°', '34°', '32°', '32°', '37°', '37°']"
Jakhau,"['36°', '32°', '32°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '30°', '36°', '32°']"
Jalgaon,"['36°', '36°', '36°', '34°', '34°', '33°', '33°', '33°', '33°', '32°', '32°', '36°', '36°']"
Jammu,"['30°', '30°', '30°', '29°', '29°', '26°', '26°', '25°', '25°', '24°', '24°', '30°', '30°']"
Jamnagar,"['37°', '33°', '33°', '33°', '33°', '33°', '33°', '32°', '32°', '32°', '32°', '37°', '33°']"
Jamshedpur,"['36°', '35°', '35°', '35°', '35°', '31°', '31°', '29°', '29°', '27°', '27°', '36°', '35°']"
Jodhpur,"['35°', '35°', '35°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '35°', '35°']"
Kakinada,"['33°', '32°', '32°', '32°', '32°', '29°', '29°', '27°', '27°', '28°', '28°', '33°', '32°']"
Kandla,"['35°', '31°', '31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '35°', '31°']"
Kanpur,"['33°', '33°', '33°', '31°', '31°', '29°', '29°', '28°', '28°', '28°', '28°', '33°', '33°']"
Karaikal,"['31°', '32°', '32°', '31°', '31°', '31°', '31°', '31°', '31°', '32°', '32°', '31°', '32°']"
Karwar,"['33°', '32°', '32°', '32°', '32°', '32°', '32°', '31°', '31°', '31°', '31°', '33°', '32°']"
Keshod,"['37°', '34°', '34°', '35°', '35°', '34°', '34°', '33°', '33°', '33°', '33°', '37°', '34°']"
Khandwa,"['35°', '35°', '35°', '32°', '32°', '32°', '32°', '30°', '30°', '31°', '31°', '35°', '35°']"
Kolkata,"['35°', '34°', '34°', '33°', '33°', '32°', '32°', '30°', '30°', '28°', '28°', '35°', '34°']"
